kpi_id;semaine;domaine;nb_executions;nb_succes;nb_echecs;nb_avertissements;duree_moyenne_sec;volume_total_lignes;taux_succes;completude_moy;unicite_moy;validite_moy;score_global_moy;nb_alertes;nb_acces;nb_utilisateurs;nb_tables_vues
1;2024-27;Finance;111;85;14;12;1750,84;89928423;76,6;85,19;90,36;86,5;87,35;4;41;34;27
2;2024-27;Marketing;81;67;6;8;1712,69;83513947;82,7;84,14;90,34;85,77;86,75;7;50;40;35
3;2024-27;RH;74;61;6;7;1747,13;71224042;82,4;84,77;90,54;89,28;88,2;1;49;40;30
4;2024-27;Ventes;74;57;7;10;1723,42;65681003;77,0;83,18;90,44;86,79;86,81;3;45;35;28
5;2024-28;Finance;118;95;7;16;1773,36;106174020;80,5;85,0;91,03;89,5;88,51;1;44;33;30
6;2024-28;Marketing;95;78;9;8;1548,8;91401336;82,1;83,26;89,79;85,35;86,13;3;37;35;27
7;2024-28;RH;75;58;6;11;1534,49;66927931;77,3;85,06;90,44;88,38;87,95;2;47;37;30
8;2024-28;Ventes;106;92;9;5;1615,11;96040789;86,8;84,12;89,59;86,02;86,58;3;50;32;29
9;2024-29;Finance;116;63;51;2;918,21;66946713;54,3;86,14;91,07;88,85;88,69;2;42;28;27
10;2024-29;Marketing;99;83;8;8;1668,17;86697458;83,8;84,57;89,4;86,24;86,74;6;63;42;34
11;2024-29;RH;69;54;6;9;1710,89;56731919;78,3;84,32;90,83;87,51;87,56;1;36;30;27
12;2024-29;Ventes;95;82;3;10;1708,61;87952893;86,3;84,33;90,34;86,61;87,1;3;43;37;30
13;2024-30;Finance;118;105;10;3;1652,99;102354712;89,0;85,19;91,39;88,32;88,29;3;41;28;25
14;2024-30;Marketing;94;81;8;5;1616,09;87761535;86,2;85,52;90,72;87,13;87,79;4;46;37;31
15;2024-30;RH;72;58;10;4;1489,21;65960588;80,6;85,67;90,65;87,91;88,08;0;50;39;32
16;2024-30;Ventes;91;71;9;11;1614,96;83365371;78,0;83,52;89,71;86,14;86,46;1;57;44;35
17;2024-31;Finance;124;105;10;9;1658,24;113543164;84,7;84,71;91,3;88,43;88,15;5;39;26;29
18;2024-31;Marketing;90;70;7;13;1453,61;74240751;77,8;84,92;89,61;87,38;87,3;4;43;38;28
19;2024-31;RH;69;52;9;8;1495,31;63845646;75,4;84,23;90,53;88,29;87,68;5;45;32;30
20;2024-31;Ventes;84;68;7;9;1650,45;77658393;81,0;84,75;89,91;87,02;87,22;4;52;42;34
21;2024-32;Finance;126;106;9;11;1699,76;127860618;84,1;85,68;91,82;88,34;88,62;2;56;43;37
22;2024-32;Marketing;85;66;8;11;1627,07;72809944;77,6;83,74;90,43;87,51;87,23;1;48;38;27
23;2024-32;RH;68;61;5;2;1642,53;60396357;89,7;84,81;90,32;88,43;87,85;0;39;33;29
24;2024-32;Ventes;105;91;6;8;1638,53;108223284;86,7;82,76;90,34;86,49;86,53;4;39;34;29
25;2024-33;Finance;120;100;13;7;1657,7;92284253;83,3;84,72;91,54;89,17;88,48;2;60;49;38
26;2024-33;Marketing;100;85;7;8;1531,64;91517999;85,0;84,4;90,51;87,12;87,34;3;50;38;29
