log_id,pipeline_id,domaine,date_run,statut,duree_sec,volume_lignes_traitees
LOG_004973,PIPE_FIN_06,Finance,2024-07-01 00:14:24,succès,280.3,1526766
LOG_009294,PIPE_VEN_06,Ventes,2024-07-01 00:16:16,échec,23.7,0
LOG_008080,PIPE_RH_10,RH,2024-07-01 00:19:32,avertissement,2555.1,147533
LOG_000616,PIPE_RH_09,RH,2024-07-01 00:47:27,échec,115.8,0
LOG_002235,PIPE_MAR_08,Marketing,2024-07-01 02:18:26,succès,1468.8,567889
LOG_007991,PIPE_MAR_05,Marketing,2024-07-01 04:19:52,succès,1290.6,1993386
LOG_003874,PIPE_FIN_05,Finance,2024-07-01 05:15:34,succès,3207.0,295249
LOG_003533,PIPE_FIN_01,Finance,2024-07-01 05:32:55,succès,3485.6,973738
LOG_003491,PIPE_MAR_03,Marketing,2024-07-01 06:38:13,succès,3071.0,1449630
LOG_004989,PIPE_MAR_04,Marketing,2024-07-01 07:08:52,succès,2315.5,1056467
LOG_000922,PIPE_MAR_04,Marketing,2024-07-01 07:22:03,succès,1676.3,1670969
LOG_009262,PIPE_RH_02,RH,2024-07-01 07:31:38,succès,407.3,1330667
LOG_009469,PIPE_FIN_01,Finance,2024-07-01 07:32:50,succès,1665.7,132197
LOG_008924,PIPE_FIN_10,Finance,2024-07-01 08:58:30,succès,98.5,956842
LOG_008568,PIPE_FIN_09,Finance,2024-07-01 09:16:54,succès,108.5,1682255
LOG_004126,PIPE_MAR_04,Marketing,2024-07-01 09:16:56,succès,3586.5,1112643
LOG_008663,PIPE_FIN_07,Finance,2024-07-01 09:35:57,succès,3599.1,1859381
LOG_009923,PIPE_MAR_05,Marketing,2024-07-01 09:56:11,succès,219.2,731288
LOG_004142,PIPE_RH_09,RH,2024-07-01 10:10:11,succès,2134.4,235679
LOG_000620,PIPE_RH_04,RH,2024-07-01 10:14:18,succès,2988.4,1677638
LOG_006881,PIPE_VEN_06,Ventes,2024-07-01 10:22:17,succès,3567.4,170801
LOG_009319,PIPE_VEN_08,Ventes,2024-07-01 10:22:47,avertissement,3078.2,1737378
LOG_002768,PIPE_FIN_07,Finance,2024-07-01 10:29:15,succès,3451.3,1682836
LOG_007212,PIPE_FIN_05,Finance,2024-07-01 10:33:46,succès,2688.1,569956
