score_id,table_id,nom,domaine,semaine,completude,unicite,validite,score_global,alerte
SCR_0000001,TBL_0001,rh_ça_1,RH,2024-27,82.0,84.6,86.2,84.3,False
SCR_0000002,TBL_0001,rh_ça_1,RH,2024-28,86.1,84.3,81.8,84.1,False
SCR_0000003,TBL_0001,rh_ça_1,RH,2024-29,86.3,87.3,80.7,84.8,False
SCR_0000004,TBL_0001,rh_ça_1,RH,2024-30,82.2,83.6,80.7,82.2,False
SCR_0000005,TBL_0001,rh_ça_1,RH,2024-31,81.0,79.3,74.4,78.2,True
SCR_0000006,TBL_0001,rh_ça_1,RH,2024-32,77.8,82.0,84.6,81.5,False
SCR_0000007,TBL_0001,rh_ça_1,RH,2024-33,76.4,80.8,90.3,82.5,False
SCR_0000008,TBL_0001,rh_ça_1,RH,2024-34,79.1,85.2,75.9,80.1,False
SCR_0000009,TBL_0001,rh_ça_1,RH,2024-35,77.8,85.3,77.2,80.1,False
SCR_0000010,TBL_0001,rh_ça_1,RH,2024-36,81.5,83.2,81.5,82.1,False
SCR_0000011,TBL_0001,rh_ça_1,RH,2024-37,77.6,90.6,82.9,83.7,False
SCR_0000012,TBL_0001,rh_ça_1,RH,2024-38,75.8,87.5,76.9,80.1,False
SCR_0000013,TBL_0001,rh_ça_1,RH,2024-39,80.8,79.1,76.4,78.8,True
SCR_0000014,TBL_0001,rh_ça_1,RH,2024-40,80.8,87.2,83.9,84.0,False
SCR_0000015,TBL_0001,rh_ça_1,RH,2024-41,79.5,84.1,75.6,79.7,True
SCR_0000016,TBL_0001,rh_ça_1,RH,2024-42,77.1,83.6,88.3,83.0,False
SCR_0000017,TBL_0001,rh_ça_1,RH,2024-43,81.4,79.7,84.6,81.9,False
SCR_0000018,TBL_0001,rh_ça_1,RH,2024-44,78.5,83.0,86.1,82.5,False
SCR_0000019,TBL_0001,rh_ça_1,RH,2024-45,84.1,87.8,78.8,83.6,False
SCR_0000020,TBL_0001,rh_ça_1,RH,2024-46,78.8,86.0,87.9,84.2,False
SCR_0000021,TBL_0001,rh_ça_1,RH,2024-47,78.1,84.4,77.5,80.0,False
SCR_0000022,TBL_0001,rh_ça_1,RH,2024-48,75.2,87.4,89.8,84.1,False
SCR_0000023,TBL_0001,rh_ça_1,RH,2024-49,79.7,88.0,84.8,84.2,False
SCR_0000024,TBL_0001,rh_ça_1,RH,2024-50,77.4,86.1,90.7,84.7,False
SCR_0000025,TBL_0001,rh_ça_1,RH,2024-51,79.9,89.7,69.9,79.8,True
SCR_0000026,TBL_0001,rh_ça_1,RH,2024-52,83.3,85.3,81.5,83.4,False
SCR_0000027,TBL_0001,rh_ça_1,RH,2024-53,80.4,79.0,81.9,80.4,False
SCR_0000028,TBL_0002,rh_portier_2,RH,2024-27,81.4,89.4,80.4,83.7,False
SCR_0000029,TBL_0002,rh_portier_2,RH,2024-28,76.8,83.5,87.6,82.6,False
SCR_0000030,TBL_0002,rh_portier_2,RH,2024-29,81.3,83.4,85.6,83.4,False
SCR_0000031,TBL_0002,rh_portier_2,RH,2024-30,80.4,87.9,79.5,82.6,False
SCR_0000032,TBL_0002,rh_portier_2,RH,2024-31,78.7,83.8,75.7,79.4,True
SCR_0000033,TBL_0002,rh_portier_2,RH,2024-32,81.2,85.8,83.0,83.3,False
SCR_0000034,TBL_0002,rh_portier_2,RH,2024-33,79.1,80.8,80.9,80.3,False
SCR_0000035,TBL_0002,rh_portier_2,RH,2024-34,78.6,82.6,82.2,81.1,False
SCR_0000036,TBL_0002,rh_portier_2,RH,2024-35,81.6,90.7,83.9,85.4,False
SCR_0000037,TBL_0002,rh_portier_2,RH,2024-36,81.0,84.8,73.4,79.7,True
SCR_0000038,TBL_0002,rh_portier_2,RH,2024-37,79.9,85.2,95.3,86.8,False
SCR_0000039,TBL_0002,rh_portier_2,RH,2024-38,79.2,85.9,82.8,82.6,False
SCR_0000040,TBL_0002,rh_portier_2,RH,2024-39,75.3,88.4,86.8,83.5,False
SCR_0000041,TBL_0002,rh_portier_2,RH,2024-40,83.2,82.3,90.0,85.2,False
SCR_0000042,TBL_0002,rh_portier_2,RH,2024-41,74.4,86.8,94.0,85.1,False
SCR_0000043,TBL_0002,rh_portier_2,RH,2024-42,76.0,83.3,83.5,80.9,False
SCR_0000044,TBL_0002,rh_portier_2,RH,2024-43,78.0,80.3,83.3,80.5,False
SCR_0000045,TBL_0002,rh_portier_2,RH,2024-44,75.8,86.4,78.4,80.2,False
SCR_0000046,TBL_0002,rh_portier_2,RH,2024-45,86.2,82.7,81.4,83.4,False
SCR_0000047,TBL_0002,rh_portier_2,RH,2024-46,83.3,81.3,84.1,82.9,False
SCR_0000048,TBL_0002,rh_portier_2,RH,2024-47,85.2,80.2,83.9,83.1,False
SCR_0000049,TBL_0002,rh_portier_2,RH,2024-48,81.0,87.3,76.8,81.7,False
SCR_0000050,TBL_0002,rh_portier_2,RH,2024-49,74.7,86.6,84.5,81.9,False
SCR_0000051,TBL_0002,rh_portier_2,RH,2024-50,81.0,86.0,79.6,82.2,False
SCR_0000052,TBL_0002,rh_portier_2,RH,2024-51,80.9,85.9,79.4,82.1,False
SCR_0000053,TBL_0002,rh_portier_2,RH,2024-52,87.5,86.4,77.0,83.6,False
SCR_0000054,TBL_0002,rh_portier_2,RH,2024-53,82.6,82.1,86.9,83.9,False
SCR_0000055,TBL_0003,rh_immense_3,RH,2024-27,89.6,87.5,92.8,90.0,False
SCR_0000056,TBL_0003,rh_immense_3,RH,2024-28,86.7,92.5,97.5,92.2,False
SCR_0000057,TBL_0003,rh_immense_3,RH,2024-29,84.0,87.7,83.6,85.1,False
SCR_0000058,TBL_0003,rh_immense_3,RH,2024-30,81.7,89.8,89.7,87.1,False
SCR_0000059,TBL_0003,rh_immense_3,RH,2024-31,86.1,92.5,88.1,88.9,False
SCR_0000060,TBL_0003,rh_immense_3,RH,2024-32,90.8,89.2,100.0,93.3,False
SCR_0000061,TBL_0003,rh_immense_3,RH,2024-33,87.5,87.4,82.6,85.8,False
SCR_0000062,TBL_0003,rh_immense_3,RH,2024-34,86.9,89.3,91.6,89.3,False
SCR_0000063,TBL_0003,rh_immense_3,RH,2024-35,86.9,89.8,83.8,86.8,False
SCR_0000064,TBL_0003,rh_immense_3,RH,2024-36,78.9,88.7,92.3,86.6,False
SCR_0000065,TBL_0003,rh_immense_3,RH,2024-37,85.9,86.3,88.9,87.0,False
SCR_0000066,TBL_0003,rh_immense_3,RH,2024-38,86.5,87.3,88.8,87.5,False
SCR_0000067,TBL_0003,rh_immense_3,RH,2024-39,85.2,86.6,89.8,87.2,False
