acces_id,user_id,equipe,domaine,table_consultee,date_acces
ACC_003568,USR_0038,Marketing,Finance,finance_en_13,2024-07-01 00:14:56
ACC_003394,USR_0061,Juridique,Ventes,ventes_prêter_16,2024-07-01 01:20:33
ACC_000909,USR_0024,Ventes,Finance,finance_joue_42,2024-07-01 05:41:57
ACC_002824,USR_0057,Marketing,RH,rh_charger_27,2024-07-01 06:29:54
ACC_003256,USR_0058,Finance,Ventes,ventes_mensonge_44,2024-07-01 07:09:22
ACC_004723,USR_0043,Juridique,RH,rh_ça_1,2024-07-01 08:41:55
ACC_001193,USR_0039,RH,Marketing,marketing_campagne_43,2024-07-01 08:58:38
ACC_001248,USR_0071,Finance,Ventes,ventes_prêter_16,2024-07-01 09:10:35
ACC_003772,USR_0022,RH,Finance,finance_chiffre_48,2024-07-01 15:25:48
ACC_000715,USR_0035,Marketing,Finance,finance_large_20,2024-07-01 16:17:42
ACC_001525,USR_0053,RH,Ventes,ventes_partie_50,2024-07-01 16:23:28
ACC_003546,USR_0027,Marketing,RH,rh_composer_38,2024-07-01 16:26:01
ACC_004994,USR_0068,Marketing,RH,rh_reste_14,2024-07-01 16:36:00
ACC_003246,USR_0067,Finance,Ventes,ventes_terrible_31,2024-07-01 18:33:52
ACC_001247,USR_0052,Direction,RH,rh_reste_14,2024-07-01 20:39:04
ACC_003968,USR_0053,Direction,Marketing,marketing_être_18,2024-07-01 21:16:21
ACC_004616,USR_0066,Direction,Finance,finance_même_2,2024-07-01 21:16:32
ACC_004719,USR_0078,Direction,RH,rh_reste_14,2024-07-02 00:54:49
ACC_003983,USR_0017,RH,Marketing,marketing_travail_4,2024-07-02 01:27:06
ACC_004013,USR_0043,Ventes,RH,rh_enfin_13,2024-07-02 01:37:42
ACC_002069,USR_0036,Marketing,Finance,finance_type_8,2024-07-02 01:49:10
ACC_000285,USR_0031,Finance,Marketing,marketing_étoile_40,2024-07-02 02:29:34
ACC_001789,USR_0060,Ventes,Ventes,ventes_dernier_6,2024-07-02 02:31:29
